2023-06-23 00:00:00 result: , param:15068.59-111:-3950.8000000000000
2023-06-23 00:00:05 result: , param:15068.59-111:-3935.8000000000000
2023-06-23 00:00:07 result: , param:15068.59-111:-3898.6000000000000
2023-06-23 00:00:09 result: , param:15068.59-111:-3898.6000000000000
2023-06-23 00:00:11 result: , param:15068.59-111:-4016.4000000000000
2023-06-23 00:00:13 result: , param:15068.59-111:-3957.4000000000000
2023-06-23 00:00:15 result: , param:15068.59-111:-3882.8000000000000
2023-06-23 00:00:17 result: , param:15068.59-111:-3882.8000000000000
2023-06-23 00:00:19 result: , param:15068.59-111:-3882.8000000000000
2023-06-23 00:00:21 result: , param:15068.59-111:-3882.8000000000000
2023-06-23 00:00:23 result: , param:15068.59-111:-3838.0000000000000
2023-06-23 00:00:25 result: , param:15068.59-111:-3668.5000000000000
2023-06-23 00:00:27 result: , param:15068.59-111:-3668.5000000000000
2023-06-23 00:00:29 result: , param:15068.59-111:-3612.3000000000000
2023-06-23 00:00:31 result: , param:15068.59-111:-3592.3000000000000
2023-06-23 00:00:33 result: , param:15068.59-111:-3512.4000000000000
2023-06-23 00:00:35 result: , param:15068.59-111:-3527.2000000000000
2023-06-23 00:00:37 result: , param:15068.59-111:-3505.4000000000000
2023-06-23 00:00:39 result: , param:15068.59-111:-3545.5000000000000
2023-06-23 00:00:41 result: , param:15068.59-111:-3569.8000000000000
2023-06-23 00:00:43 result: , param:15068.59-111:-3561.9000000000000
2023-06-23 00:00:45 result: , param:15068.59-111:-3646.0000000000000
2023-06-23 00:00:47 result: , param:15068.59-111:-3582.5000000000000
2023-06-23 00:00:49 result: , param:15068.59-111:-3549.6000000000000
2023-06-23 00:00:51 result: , param:15068.59-111:-3549.5000000000000
2023-06-23 00:00:53 result: , param:15068.59-111:-3509.5000000000000
2023-06-23 00:00:55 result: , param:15068.59-111:-3508.0000000000000
2023-06-23 00:00:57 result: , param:15068.59-111:-3509.6000000000000
2023-06-23 00:00:59 result: , param:15068.59-111:-3509.6000000000000
2023-06-23 00:01:02 result: , param:15068.59-111:-3532.3000000000000
2023-06-23 00:01:04 result: , param:15068.59-111:-3472.8000000000000
2023-06-23 00:01:06 result: , param:15068.59-111:-3472.8000000000000
2023-06-23 00:01:08 result: , param:15068.59-111:-3352.8000000000000
2023-06-23 00:01:10 result: , param:15068.59-111:-3289.1000000000000
2023-06-23 00:01:12 result: , param:15068.59-111:-3206.0000000000000
2023-06-23 00:01:14 result: , param:15068.59-111:-3112.9000000000000
2023-06-23 00:01:16 result: , param:15068.59-111:-3187.4000000000000
2023-06-23 00:01:18 result: , param:15068.59-111:-3187.5000000000000
2023-06-23 00:01:20 result: , param:15068.59-111:-3279.4000000000000
2023-06-23 00:01:22 result: , param:15068.59-111:-3318.0000000000000
2023-06-23 00:01:24 result: , param:15068.59-111:-3318.0000000000000
2023-06-23 00:01:26 result: , param:15068.59-111:-3318.0000000000000
2023-06-23 00:01:28 result: , param:15068.59-111:-3312.5000000000000
2023-06-23 00:01:30 result: , param:15068.59-111:-3395.1000000000000
2023-06-23 00:01:32 result: , param:15068.59-111:-3395.1000000000000
2023-06-23 00:01:34 result: , param:15068.59-111:-3395.1000000000000
2023-06-23 00:01:36 result: , param:15068.59-111:-3358.9000000000000
2023-06-23 00:01:38 result: , param:15068.59-111:-3310.1000000000000
2023-06-23 00:01:40 result: , param:15068.59-111:-3310.1000000000000
2023-06-23 00:01:42 result: , param:15068.59-111:-3279.7000000000000
2023-06-23 00:01:44 result: , param:15068.59-111:-3291.2000000000000
2023-06-23 00:01:46 result: , param:15068.59-111:-3217.5000000000000
2023-06-23 00:01:48 result: , param:15068.59-111:-3285.4000000000000
2023-06-23 00:01:50 result: , param:15068.59-111:-3285.4000000000000
2023-06-23 00:01:52 result: , param:15068.59-111:-3290.3000000000000
2023-06-23 00:01:54 result: , param:15068.59-111:-3290.3000000000000
2023-06-23 00:01:56 result: , param:15068.59-111:-3288.5000000000000
2023-06-23 00:01:58 result: , param:15068.59-111:-3279.7000000000000
2023-06-23 00:02:00 result: , param:15068.59-111:-3279.8000000000000
2023-06-23 00:02:02 result: , param:15068.59-111:-3349.8000000000000
2023-06-23 00:02:04 result: , param:15068.59-111:-3309.8000000000000
2023-06-23 00:02:06 result: , param:15068.59-111:-3309.8000000000000
2023-06-23 00:02:08 result: , param:15068.59-111:-3387.2000000000000
2023-06-23 00:02:10 result: , param:15068.59-111:-3395.1000000000000
2023-06-23 00:02:12 result: , param:15068.59-111:-3293.7000000000000
2023-06-23 00:02:14 result: , param:15068.59-111:-3293.7000000000000
2023-06-23 00:02:16 result: , param:15068.59-111:-3293.7000000000000
2023-06-23 00:02:18 result: , param:15068.59-111:-3293.7000000000000
2023-06-23 00:02:20 result: , param:15068.59-111:-3252.1000000000000
2023-06-23 00:02:22 result: , param:15068.59-111:-3252.1000000000000
2023-06-23 00:02:24 result: , param:15068.59-111:-3252.1000000000000
2023-06-23 00:02:26 result: , param:15068.59-111:-3292.7000000000000
2023-06-23 00:02:28 result: , param:15068.59-111:-3419.0000000000000
2023-06-23 00:02:30 result: , param:15068.59-111:-3450.5000000000000
2023-06-23 00:02:32 result: , param:15068.59-111:-3440.9000000000000
2023-06-23 00:02:34 result: , param:15068.59-111:-3440.8000000000000
2023-06-23 00:02:36 result: , param:15068.59-111:-3389.1000000000000
2023-06-23 00:02:38 result: , param:15068.59-111:-3389.1000000000000
2023-06-23 00:02:40 result: , param:15068.59-111:-3402.5000000000000
2023-06-23 00:02:42 result: , param:15068.59-111:-3472.7000000000000
2023-06-23 00:02:44 result: , param:15068.59-111:-3514.9000000000000
2023-06-23 00:02:46 result: , param:15068.59-111:-3514.9000000000000
2023-06-23 00:02:48 result: , param:15068.59-111:-3493.3000000000000
2023-06-23 00:02:50 result: , param:15068.59-111:-3441.2000000000000
2023-06-23 00:02:52 result: , param:15068.59-111:-3478.6000000000000
2023-06-23 00:02:54 result: , param:15068.59-111:-3438.6000000000000
2023-06-23 00:02:57 result: , param:15068.59-111:-3527.4000000000000
2023-06-23 00:02:59 result: , param:15068.59-111:-3561.9000000000000
2023-06-23 00:03:01 result: , param:15068.59-111:-3561.9000000000000
2023-06-23 00:03:03 result: , param:15068.59-111:-3452.3000000000000
2023-06-23 00:03:05 result: , param:15068.59-111:-3348.5000000000000
2023-06-23 00:03:07 result: , param:15068.59-111:-3364.7000000000000
2023-06-23 00:03:09 result: , param:15068.59-111:-3395.2000000000000
2023-06-23 00:03:11 result: , param:15068.59-111:-3323.6000000000000
2023-06-23 00:03:13 result: , param:15068.59-111:-3323.6000000000000
2023-06-23 00:03:15 result: , param:15068.59-111:-3323.5000000000000
2023-06-23 00:03:17 result: , param:15068.59-111:-3207.6000000000000
2023-06-23 00:03:19 result: , param:15068.59-111:-3192.4000000000000
2023-06-23 00:03:21 result: , param:15068.59-111:-3192.4000000000000
2023-06-23 00:03:23 result: , param:15068.59-111:-3171.9000000000000
2023-06-23 00:03:25 result: , param:15068.59-111:-3171.9000000000000
2023-06-23 00:03:27 result: , param:15068.59-111:-3171.9000000000000
2023-06-23 00:03:29 result: , param:15068.59-111:-3132.4000000000000
2023-06-23 00:03:31 result: , param:15068.59-111:-3132.4000000000000
2023-06-23 00:03:33 result: , param:15068.59-111:-3132.3000000000000
2023-06-23 00:03:35 result: , param:15068.59-111:-3012.4000000000000
2023-06-23 00:03:37 result: , param:15068.59-111:-3184.7000000000000
2023-06-23 00:03:39 result: , param:15068.59-111:-3224.6000000000000
2023-06-23 00:03:41 result: , param:15068.59-111:-3269.1000000000000
2023-06-23 00:03:43 result: , param:15068.59-111:-3269.1000000000000
2023-06-23 00:03:45 result: , param:15068.59-111:-3269.1000000000000
2023-06-23 00:03:47 result: , param:15068.59-111:-3297.6000000000000
2023-06-23 00:03:49 result: , param:15068.59-111:-3359.5000000000000
2023-06-23 00:03:51 result: , param:15068.59-111:-3427.6000000000000
2023-06-23 00:03:53 result: , param:15068.59-111:-3427.6000000000000
2023-06-23 00:03:55 result: , param:15068.59-111:-3427.6000000000000
2023-06-23 00:03:57 result: , param:15068.59-111:-3302.5000000000000
2023-06-23 00:03:59 result: , param:15068.59-111:-3302.5000000000000
2023-06-23 00:04:01 result: , param:15068.59-111:-3302.5000000000000
2023-06-23 00:04:03 result: , param:15068.59-111:-3302.5000000000000
2023-06-23 00:04:05 result: , param:15068.59-111:-3251.6000000000000
2023-06-23 00:04:07 result: , param:15068.59-111:-3215.2000000000000
2023-06-23 00:04:09 result: , param:15068.59-111:-3201.6000000000000
2023-06-23 00:04:11 result: , param:15068.59-111:-3201.7000000000000
2023-06-23 00:04:13 result: , param:15068.59-111:-3201.7000000000000
2023-06-23 00:04:15 result: , param:15068.59-111:-3148.6000000000000
2023-06-23 00:04:17 result: , param:15068.59-111:-3032.9000000000000
2023-06-23 00:04:19 result: , param:15068.59-111:-3032.9000000000000
2023-06-23 00:04:21 result: , param:15068.59-111:-3032.9000000000000
2023-06-23 00:04:23 result: , param:15068.59-111:-3032.9000000000000
2023-06-23 00:04:26 result: , param:15068.59-111:-2997.4000000000000
2023-06-23 00:04:28 result: , param:15068.59-111:-3021.1000000000000
2023-06-23 00:04:30 result: , param:15068.59-111:-3080.2000000000000
2023-06-23 00:04:32 result: , param:15068.59-111:-3100.2000000000000
2023-06-23 00:04:34 result: , param:15068.59-111:-3151.2000000000000
2023-06-23 00:04:36 result: , param:15068.59-111:-3151.2000000000000
2023-06-23 00:04:38 result: , param:15068.59-111:-3095.5000000000000
2023-06-23 00:04:40 result: , param:15068.59-111:-3095.5000000000000
2023-06-23 00:04:42 result: , param:15068.59-111:-3111.2000000000000
2023-06-23 00:04:44 result: , param:15068.59-111:-3172.3000000000000
