2023-06-29 00:00:01 result: , param:15068.59-111:1771.3000000000000
2023-06-29 00:00:05 result: , param:15068.59-111:1817.7000000000000
2023-06-29 00:00:07 result: , param:15068.59-111:1817.6000000000000
2023-06-29 00:00:09 result: , param:15068.59-111:1832.7000000000000
2023-06-29 00:00:11 result: , param:15068.59-111:1852.7000000000000
2023-06-29 00:00:13 result: , param:15068.59-111:1852.7000000000000
2023-06-29 00:00:15 result: , param:15068.59-111:1812.1000000000000
2023-06-29 00:00:17 result: , param:15068.59-111:1812.1000000000000
2023-06-29 00:00:19 result: , param:15068.59-111:1864.2000000000000
2023-06-29 00:00:21 result: , param:15068.59-111:1892.7000000000000
2023-06-29 00:00:23 result: , param:15068.59-111:1897.6000000000000
2023-06-29 00:00:25 result: , param:15068.59-111:1902.7000000000000
2023-06-29 00:00:27 result: , param:15068.59-111:1929.7000000000000
2023-06-29 00:00:29 result: , param:15068.59-111:1929.7000000000000
2023-06-29 00:00:31 result: , param:15068.59-111:1929.7000000000000
2023-06-29 00:00:33 result: , param:15068.59-111:1932.6000000000000
2023-06-29 00:00:35 result: , param:15068.59-111:1932.6000000000000
2023-06-29 00:00:37 result: , param:15068.59-111:1936.7000000000000
2023-06-29 00:00:39 result: , param:15068.59-111:1798.7000000000000
2023-06-29 00:00:41 result: , param:15068.59-111:1798.7000000000000
2023-06-29 00:00:43 result: , param:15068.59-111:1798.7000000000000
2023-06-29 00:00:45 result: , param:15068.59-111:1844.6000000000000
2023-06-29 00:00:47 result: , param:15068.59-111:1844.6000000000000
2023-06-29 00:00:49 result: , param:15068.59-111:1844.6000000000000
2023-06-29 00:00:51 result: , param:15068.59-111:1895.8000000000000
2023-06-29 00:00:53 result: , param:15068.59-111:1895.7000000000000
2023-06-29 00:00:55 result: , param:15068.59-111:1888.3000000000000
2023-06-29 00:00:57 result: , param:15068.59-111:1848.3000000000000
2023-06-29 00:00:59 result: , param:15068.59-111:1848.3000000000000
2023-06-29 00:01:01 result: , param:15068.59-111:1837.8000000000000
2023-06-29 00:01:03 result: , param:15068.59-111:1837.8000000000000
2023-06-29 00:01:05 result: , param:15068.59-111:1837.8000000000000
2023-06-29 00:01:07 result: , param:15068.59-111:1837.8000000000000
2023-06-29 00:01:09 result: , param:15068.59-111:1837.8000000000000
2023-06-29 00:01:11 result: , param:15068.59-111:1837.8000000000000
2023-06-29 00:01:13 result: , param:15068.59-111:1847.6000000000000
2023-06-29 00:01:15 result: , param:15068.59-111:1847.6000000000000
2023-06-29 00:01:17 result: , param:15068.59-111:1847.0000000000000
2023-06-29 00:01:19 result: , param:15068.59-111:1747.8000000000000
2023-06-29 00:01:21 result: , param:15068.59-111:1747.7000000000000
2023-06-29 00:01:23 result: , param:15068.59-111:1732.7000000000000
2023-06-29 00:01:25 result: , param:15068.59-111:1732.7000000000000
2023-06-29 00:01:27 result: , param:15068.59-111:1732.7000000000000
2023-06-29 00:01:29 result: , param:15068.59-111:1637.7000000000000
2023-06-29 00:01:32 result: , param:15068.59-111:1637.7000000000000
2023-06-29 00:01:34 result: , param:15068.59-111:1607.7000000000000
2023-06-29 00:01:36 result: , param:15068.59-111:1567.7000000000000
2023-06-29 00:01:38 result: , param:15068.59-111:1537.7000000000000
2023-06-29 00:01:40 result: , param:15068.59-111:1532.7000000000000
2023-06-29 00:01:42 result: , param:15068.59-111:1527.7000000000000
2023-06-29 00:01:44 result: , param:15068.59-111:1568.9000000000000
2023-06-29 00:01:46 result: , param:15068.59-111:1568.9000000000000
2023-06-29 00:01:48 result: , param:15068.59-111:1634.1000000000000
2023-06-29 00:01:50 result: , param:15068.59-111:1578.7000000000000
2023-06-29 00:01:52 result: , param:15068.59-111:1578.7000000000000
2023-06-29 00:01:54 result: , param:15068.59-111:1664.4000000000000
2023-06-29 00:01:56 result: , param:15068.59-111:1628.0000000000000
2023-06-29 00:01:58 result: , param:15068.59-111:1628.0000000000000
2023-06-29 00:02:00 result: , param:15068.59-111:1603.3000000000000
2023-06-29 00:02:02 result: , param:15068.59-111:1603.3000000000000
2023-06-29 00:02:04 result: , param:15068.59-111:1603.3000000000000
2023-06-29 00:02:06 result: , param:15068.59-111:1687.3000000000000
2023-06-29 00:02:08 result: , param:15068.59-111:1715.4000000000000
2023-06-29 00:02:10 result: , param:15068.59-111:1793.4000000000000
2023-06-29 00:02:12 result: , param:15068.59-111:1793.4000000000000
2023-06-29 00:02:14 result: , param:15068.59-111:1766.5000000000000
2023-06-29 00:02:16 result: , param:15068.59-111:1711.3000000000000
2023-06-29 00:02:18 result: , param:15068.59-111:1711.3000000000000
2023-06-29 00:02:20 result: , param:15068.59-111:1696.0000000000000
2023-06-29 00:02:22 result: , param:15068.59-111:1695.9000000000000
2023-06-29 00:02:24 result: , param:15068.59-111:1695.9000000000000
2023-06-29 00:02:26 result: , param:15068.59-111:1695.9000000000000
2023-06-29 00:02:28 result: , param:15068.59-111:1653.4000000000000
2023-06-29 00:02:30 result: , param:15068.59-111:1653.3000000000000
2023-06-29 00:02:32 result: , param:15068.59-111:1653.3000000000000
2023-06-29 00:02:34 result: , param:15068.59-111:1653.4000000000000
2023-06-29 00:02:36 result: , param:15068.59-111:1653.4000000000000
2023-06-29 00:02:38 result: , param:15068.59-111:1653.4000000000000
2023-06-29 00:02:40 result: , param:15068.59-111:1653.4000000000000
2023-06-29 00:02:42 result: , param:15068.59-111:1653.4000000000000
2023-06-29 00:02:44 result: , param:15068.59-111:1709.6000000000000
2023-06-29 00:02:46 result: , param:15068.59-111:1727.7000000000000
2023-06-29 00:02:48 result: , param:15068.59-111:1727.7000000000000
2023-06-29 00:02:50 result: , param:15068.59-111:1782.7000000000000
2023-06-29 00:02:52 result: , param:15068.59-111:1782.7000000000000
2023-06-29 00:02:54 result: , param:15068.59-111:1782.7000000000000
2023-06-29 00:02:56 result: , param:15068.59-111:1782.7000000000000
2023-06-29 00:02:58 result: , param:15068.59-111:1802.7000000000000
2023-06-29 00:03:00 result: , param:15068.59-111:1842.6000000000000
2023-06-29 00:03:02 result: , param:15068.59-111:1857.7000000000000
2023-06-29 00:03:04 result: , param:15068.59-111:1857.7000000000000
2023-06-29 00:03:06 result: , param:15068.59-111:1857.7000000000000
2023-06-29 00:03:08 result: , param:15068.59-111:1857.7000000000000
2023-06-29 00:03:10 result: , param:15068.59-111:1857.7000000000000
2023-06-29 00:03:13 result: , param:15068.59-111:1862.7000000000000
2023-06-29 00:03:15 result: , param:15068.59-111:1677.7000000000000
2023-06-29 00:03:17 result: , param:15068.59-111:1677.7000000000000
2023-06-29 00:03:19 result: , param:15068.59-111:1677.7000000000000
2023-06-29 00:03:21 result: , param:15068.59-111:1677.7000000000000
2023-06-29 00:03:23 result: , param:15068.59-111:1677.7000000000000
2023-06-29 00:03:25 result: , param:15068.59-111:1677.7000000000000
2023-06-29 00:03:27 result: , param:15068.59-111:1629.3000000000000
2023-06-29 00:03:29 result: , param:15068.59-111:1631.5000000000000
2023-06-29 00:03:31 result: , param:15068.59-111:1594.7000000000000
2023-06-29 00:03:33 result: , param:15068.59-111:1594.7000000000000
2023-06-29 00:03:35 result: , param:15068.59-111:1639.1000000000000
2023-06-29 00:03:37 result: , param:15068.59-111:1641.4000000000000
2023-06-29 00:03:39 result: , param:15068.59-111:1641.4000000000000
2023-06-29 00:03:41 result: , param:15068.59-111:1641.4000000000000
2023-06-29 00:03:43 result: , param:15068.59-111:1726.6000000000000
2023-06-29 00:03:45 result: , param:15068.59-111:1726.6000000000000
2023-06-29 00:03:47 result: , param:15068.59-111:1679.7000000000000
2023-06-29 00:03:49 result: , param:15068.59-111:1679.7000000000000
2023-06-29 00:03:51 result: , param:15068.59-111:1679.7000000000000
2023-06-29 00:03:53 result: , param:15068.59-111:1615.9000000000000
2023-06-29 00:03:55 result: , param:15068.59-111:1676.4000000000000
2023-06-29 00:03:57 result: , param:15068.59-111:1676.3000000000000
2023-06-29 00:03:59 result: , param:15068.59-111:1676.3000000000000
2023-06-29 00:04:01 result: , param:15068.59-111:1632.4000000000000
2023-06-29 00:04:03 result: , param:15068.59-111:1632.4000000000000
2023-06-29 00:04:05 result: , param:15068.59-111:1663.7000000000000
2023-06-29 00:04:07 result: , param:15068.59-111:1663.7000000000000
2023-06-29 00:04:09 result: , param:15068.59-111:1663.7000000000000
2023-06-29 00:04:11 result: , param:15068.59-111:1682.6000000000000
2023-06-29 00:04:13 result: , param:15068.59-111:1682.6000000000000
2023-06-29 00:04:15 result: , param:15068.59-111:1682.5000000000000
2023-06-29 00:04:17 result: , param:15068.59-111:1682.5000000000000
2023-06-29 00:04:19 result: , param:15068.59-111:1682.5000000000000
2023-06-29 00:04:21 result: , param:15068.59-111:1682.6000000000000
2023-06-29 00:04:23 result: , param:15068.59-111:1682.6000000000000
2023-06-29 00:04:25 result: , param:15068.59-111:1682.6000000000000
2023-06-29 00:04:27 result: , param:15068.59-111:1682.6000000000000
2023-06-29 00:04:29 result: , param:15068.59-111:1682.6000000000000
2023-06-29 00:04:31 result: , param:15068.59-111:1682.6000000000000
2023-06-29 00:04:33 result: , param:15068.59-111:1682.6000000000000
2023-06-29 00:04:35 result: , param:15068.59-111:1682.5000000000000
2023-06-29 00:04:37 result: , param:15068.59-111:1682.5000000000000
2023-06-29 00:04:39 result: , param:15068.59-111:1586.0000000000000
2023-06-29 00:04:41 result: , param:15068.59-111:1585.9000000000000
2023-06-29 00:04:43 result: , param:15068.59-111:1586.0000000000000
2023-06-29 00:04:45 result: , param:15068.59-111:1572.8000000000000
2023-06-29 00:04:47 result: , param:15068.59-111:1562.7000000000000
2023-06-29 00:04:49 result: , param:15068.59-111:1562.7000000000000
2023-06-29 00:04:51 result: , param:15068.59-111:1562.8000000000000
2023-06-29 00:04:53 result: , param:15068.59-111:1562.8000000000000
2023-06-29 00:04:55 result: , param:15068.59-111:1557.8000000000000
2023-06-29 00:04:57 result: , param:15068.59-111:1551.9000000000000
2023-06-29 00:05:00 result: , param:15068.59-111:1552.0000000000000
2023-06-29 00:05:02 result: , param:15068.59-111:1581.1000000000000
2023-06-29 00:05:04 result: , param:15068.59-111:1615.4000000000000
2023-06-29 00:05:06 result: , param:15068.59-111:1651.1000000000000
2023-06-29 00:05:08 result: , param:15068.59-111:1651.1000000000000
2023-06-29 00:05:10 result: , param:15068.59-111:1651.2000000000000
2023-06-29 00:05:12 result: , param:15068.59-111:1651.2000000000000
2023-06-29 00:05:14 result: , param:15068.59-111:1712.3000000000000
2023-06-29 00:05:16 result: , param:15068.59-111:1712.3000000000000
2023-06-29 00:05:18 result: , param:15068.59-111:1712.4000000000000
2023-06-29 00:05:20 result: , param:15068.59-111:1712.3000000000000
2023-06-29 00:05:22 result: , param:15068.59-111:1742.1000000000000
2023-06-29 00:05:24 result: , param:15068.59-111:1802.6000000000000
2023-06-29 00:05:26 result: , param:15068.59-111:1802.6000000000000
2023-06-29 00:05:28 result: , param:15068.59-111:1823.0000000000000
2023-06-29 00:05:30 result: , param:15068.59-111:1843.1000000000000
2023-06-29 00:05:32 result: , param:15068.59-111:1843.0000000000000
2023-06-29 00:05:34 result: , param:15068.59-111:1843.1000000000000
2023-06-29 00:05:36 result: , param:15068.59-111:1843.0000000000000
2023-06-29 00:05:38 result: , param:15068.59-111:1843.0000000000000
2023-06-29 00:05:40 result: , param:15068.59-111:1806.8000000000000
2023-06-29 00:05:42 result: , param:15068.59-111:1806.7000000000000
2023-06-29 00:05:44 result: , param:15068.59-111:1806.8000000000000
2023-06-29 00:05:46 result: , param:15068.59-111:1842.8000000000000
2023-06-29 00:05:48 result: , param:15068.59-111:1842.8000000000000
2023-06-29 00:05:50 result: , param:15068.59-111:1842.8000000000000
2023-06-29 00:05:52 result: , param:15068.59-111:1855.2000000000000
2023-06-29 00:05:54 result: , param:15068.59-111:1855.2000000000000
2023-06-29 00:05:56 result: , param:15068.59-111:1855.2000000000000
2023-06-29 00:05:58 result: , param:15068.59-111:1872.7000000000000
2023-06-29 00:06:00 result: , param:15068.59-111:1912.7000000000000
2023-06-29 00:06:02 result: , param:15068.59-111:2076.2000000000000
2023-06-29 00:06:04 result: , param:15068.59-111:2077.7000000000000
2023-06-29 00:06:06 result: , param:15068.59-111:2077.7000000000000
2023-06-29 00:06:09 result: , param:15068.59-111:2085.8000000000000
2023-06-29 00:06:10 result: , param:15068.59-111:1997.0000000000000
2023-06-29 00:06:13 result: , param:15068.59-111:1997.1000000000000
2023-06-29 00:06:15 result: , param:15068.59-111:1997.1000000000000
2023-06-29 00:06:17 result: , param:15068.59-111:1989.6000000000000
2023-06-29 00:06:19 result: , param:15068.59-111:2041.5000000000000
2023-06-29 00:06:21 result: , param:15068.59-111:2085.8000000000000
2023-06-29 00:06:23 result: , param:15068.59-111:2043.5000000000000
2023-06-29 00:06:25 result: , param:15068.59-111:2043.5000000000000
2023-06-29 00:06:27 result: , param:15068.59-111:2057.1000000000000
2023-06-29 00:06:29 result: , param:15068.59-111:2043.6000000000000
2023-06-29 00:06:31 result: , param:15068.59-111:2054.5000000000000
2023-06-29 00:06:33 result: , param:15068.59-111:2083.2000000000000
2023-06-29 00:06:35 result: , param:15068.59-111:2085.8000000000000
2023-06-29 00:06:37 result: , param:15068.59-111:2085.8000000000000
2023-06-29 00:06:39 result: , param:15068.59-111:2085.9000000000000
2023-06-29 00:06:41 result: , param:15068.59-111:2085.8000000000000
2023-06-29 00:06:43 result: , param:15068.59-111:2085.9000000000000
2023-06-29 00:06:45 result: , param:15068.59-111:2067.1000000000000
2023-06-29 00:06:47 result: , param:15068.59-111:2067.1000000000000
2023-06-29 00:06:49 result: , param:15068.59-111:2117.7000000000000
2023-06-29 00:06:51 result: , param:15068.59-111:2132.6000000000000
2023-06-29 00:06:53 result: , param:15068.59-111:2204.6000000000000
2023-06-29 00:06:55 result: , param:15068.59-111:2204.6000000000000
2023-06-29 00:06:57 result: , param:15068.59-111:2204.6000000000000
2023-06-29 00:06:59 result: , param:15068.59-111:2186.4000000000000
2023-06-29 00:07:01 result: , param:15068.59-111:2204.3000000000000
2023-06-29 00:07:03 result: , param:15068.59-111:2204.3000000000000
2023-06-29 00:07:05 result: , param:15068.59-111:2204.3000000000000
2023-06-29 00:07:07 result: , param:15068.59-111:2204.3000000000000
